Data for 2024-03-17: 
stock,timestamp,open,high,low,close,volume
GOOGL,2024-03-22 12:51:00,150.5800,150.7200,150.5750,150.7060,47007
GOOGL,2024-03-22 12:52:00,150.7050,150.7100,150.6600,150.6780,35999
GOOGL,2024-03-22 12:53:00,150.6780,150.7150,150.6700,150.7000,27962
GOOGL,2024-03-22 12:54:00,150.7070,150.7600,150.7000,150.7400,28431
GOOGL,2024-03-22 12:55:00,150.7400,150.7520,150.6750,150.6800,17421
GOOGL,2024-03-22 12:56:00,150.6800,150.8100,150.6800,150.7820,36799
GOOGL,2024-03-22 12:57:00,150.7900,150.8200,150.7900,150.8150,25229
GOOGL,2024-03-22 12:58:00,150.8100,150.8700,150.8100,150.8300,36157
GOOGL,2024-03-22 12:59:00,150.8400,150.8970,150.8300,150.8700,27445
GOOGL,2024-03-22 13:00:00,150.8600,150.9350,150.8600,150.9150,35711
GOOGL,2024-03-22 13:01:00,150.9150,150.9500,150.9100,150.9400,25246
GOOGL,2024-03-22 13:02:00,150.9500,150.9700,150.9200,150.9250,34302
GOOGL,2024-03-22 13:03:00,150.9200,150.9300,150.8300,150.8300,22722
GOOGL,2024-03-22 13:04:00,150.8200,150.8950,150.8130,150.8900,20532
GOOGL,2024-03-22 13:05:00,150.8900,150.9250,150.8800,150.8900,45611
GOOGL,2024-03-22 13:06:00,150.8850,150.9310,150.8800,150.9100,16955
GOOGL,2024-03-22 13:07:00,150.9050,150.9050,150.8280,150.8350,26951
GOOGL,2024-03-22 13:08:00,150.8350,150.8650,150.7950,150.8400,24822
GOOGL,2024-03-22 13:09:00,150.8500,150.9000,150.8200,150.8470,175736
GOOGL,2024-03-22 13:10:00,150.8500,150.8500,150.8050,150.8400,13503
GOOGL,2024-03-22 13:11:00,150.8380,150.8600,150.8300,150.8500,20040
GOOGL,2024-03-22 13:12:00,150.8450,150.9200,150.8400,150.9100,55954
GOOGL,2024-03-22 13:13:00,150.9050,150.9200,150.8500,150.9150,29711
GOOGL,2024-03-22 13:14:00,150.9040,150.9300,150.8750,150.8750,20519
GOOGL,2024-03-22 13:15:00,150.8750,150.8780,150.8200,150.8540,25374
GOOGL,2024-03-22 13:16:00,150.8500,150.8500,150.7900,150.8100,48984
GOOGL,2024-03-22 13:17:00,150.8100,150.8150,150.7100,150.7150,31448
GOOGL,2024-03-22 13:18:00,150.7000,150.7600,150.6600,150.7600,32413
GOOGL,2024-03-22 13:19:00,150.7550,150.7700,150.7200,150.7430,15589
GOOGL,2024-03-22 13:20:00,150.7500,150.7800,150.7300,150.7700,23421
GOOGL,2024-03-22 13:21:00,150.7600,150.8300,150.7550,150.8110,19600
GOOGL,2024-03-22 13:22:00,150.8150,150.8150,150.7600,150.7650,16171
GOOGL,2024-03-22 13:23:00,150.7650,150.7800,150.7100,150.7200,21882
GOOGL,2024-03-22 13:24:00,150.7150,150.7900,150.6900,150.7700,16817
GOOGL,2024-03-22 13:25:00,150.7600,150.7600,150.7200,150.7200,15945
GOOGL,2024-03-22 13:26:00,150.7100,150.7400,150.6960,150.7000,22785
GOOGL,2024-03-22 13:27:00,150.7000,150.7300,150.7000,150.7200,8645
GOOGL,2024-03-22 13:28:00,150.7100,150.7150,150.6850,150.6850,16270
GOOGL,2024-03-22 13:29:00,150.6800,150.6800,150.6260,150.6650,16914
GOOGL,2024-03-22 13:30:00,150.6600,150.7400,150.6400,150.7400,19249
GOOGL,2024-03-22 13:31:00,150.7300,150.7400,150.7100,150.7350,10935
GOOGL,2024-03-22 13:32:00,150.7350,150.7700,150.7200,150.7350,24800
GOOGL,2024-03-22 13:33:00,150.7350,150.7350,150.6700,150.6700,18823
GOOGL,2024-03-22 13:34:00,150.6650,150.6700,150.5900,150.6350,25977
GOOGL,2024-03-22 13:35:00,150.6400,150.6700,150.5900,150.6060,22805
GOOGL,2024-03-22 13:36:00,150.5900,150.5900,150.5400,150.5700,23647
GOOGL,2024-03-22 13:37:00,150.5700,150.5850,150.5500,150.5500,18417
GOOGL,2024-03-22 13:38:00,150.5500,150.5550,150.5250,150.5300,15529
GOOGL,2024-03-22 13:39:00,150.5220,150.5300,150.5030,150.5300,25443
GOOGL,2024-03-22 13:40:00,150.5300,150.5470,150.5000,150.5300,19066
GOOGL,2024-03-22 13:41:00,150.5280,150.5300,150.4800,150.4840,19717
GOOGL,2024-03-22 13:42:00,150.4850,150.5200,150.4600,150.5200,36145
GOOGL,2024-03-22 13:43:00,150.5200,150.5500,150.5050,150.5100,26878
GOOGL,2024-03-22 13:44:00,150.5190,150.5450,150.4900,150.5450,23303
GOOGL,2024-03-22 13:45:00,150.5450,150.6300,150.5450,150.6050,37310
GOOGL,2024-03-22 13:46:00,150.6000,150.6000,150.5300,150.5350,18748
GOOGL,2024-03-22 13:47:00,150.5300,150.5400,150.5070,150.5070,21078
GOOGL,2024-03-22 13:48:00,150.5050,150.5650,150.5050,150.5550,9689
GOOGL,2024-03-22 13:49:00,150.5600,150.6900,150.5600,150.6850,22439
GOOGL,2024-03-22 13:50:00,150.6800,150.7650,150.6800,150.7550,28740
GOOGL,2024-03-22 13:51:00,150.7500,150.8200,150.7400,150.8050,43093
GOOGL,2024-03-22 13:52:00,150.8080,150.8150,150.7500,150.7800,31351
GOOGL,2024-03-22 13:53:00,150.7800,150.8300,150.7700,150.8000,28919
GOOGL,2024-03-22 13:54:00,150.7950,150.7950,150.7600,150.7950,13568
GOOGL,2024-03-22 13:55:00,150.8000,150.8100,150.7800,150.7950,24095
GOOGL,2024-03-22 13:56:00,150.8000,150.8200,150.7900,150.8100,15313
GOOGL,2024-03-22 13:57:00,150.8050,150.8300,150.7500,150.7500,17406
GOOGL,2024-03-22 13:58:00,150.7600,150.7900,150.7450,150.7650,16716
GOOGL,2024-03-22 13:59:00,150.7700,150.8100,150.7600,150.8000,21169
GOOGL,2024-03-22 14:00:00,150.7900,150.8050,150.7050,150.7160,20960
GOOGL,2024-03-22 14:01:00,150.7200,150.8000,150.7200,150.8000,16423
GOOGL,2024-03-22 14:02:00,150.7900,150.8400,150.7900,150.8300,18028
GOOGL,2024-03-22 14:03:00,150.8250,150.8550,150.8100,150.8400,38722
GOOGL,2024-03-22 14:04:00,150.8350,150.8400,150.8100,150.8400,17038
GOOGL,2024-03-22 14:05:00,150.8350,150.8400,150.8100,150.8100,20503
GOOGL,2024-03-22 14:06:00,150.8150,150.8150,150.7650,150.7890,17868
GOOGL,2024-03-22 14:07:00,150.7850,150.8300,150.7750,150.8300,24393
GOOGL,2024-03-22 14:08:00,150.8400,150.8800,150.7900,150.7900,26534
GOOGL,2024-03-22 14:09:00,150.7900,150.8300,150.7900,150.8100,13386
GOOGL,2024-03-22 14:10:00,150.8100,150.8300,150.7950,150.8050,18647
GOOGL,2024-03-22 14:11:00,150.8050,150.8450,150.7900,150.8300,26015
GOOGL,2024-03-22 14:12:00,150.8200,150.8300,150.7850,150.7900,14973
GOOGL,2024-03-22 14:13:00,150.7850,150.8400,150.7700,150.8400,18018
GOOGL,2024-03-22 14:14:00,150.8400,150.8900,150.8350,150.8550,27872
GOOGL,2024-03-22 14:15:00,150.8550,150.8800,150.8000,150.8750,25256
GOOGL,2024-03-22 14:16:00,150.8800,150.8850,150.8300,150.8550,18295
GOOGL,2024-03-22 14:17:00,150.8500,150.8600,150.8010,150.8390,23514
GOOGL,2024-03-22 14:18:00,150.8350,150.8500,150.8050,150.8400,20631
GOOGL,2024-03-22 14:19:00,150.8400,150.8600,150.8160,150.8350,32477
GOOGL,2024-03-22 14:20:00,150.8370,150.8370,150.7400,150.7500,44624
GOOGL,2024-03-22 14:21:00,150.7500,150.7700,150.7000,150.7700,41252
GOOGL,2024-03-22 14:22:00,150.7700,150.7700,150.6800,150.7000,32445
GOOGL,2024-03-22 14:23:00,150.7000,150.7900,150.6950,150.7400,25965
GOOGL,2024-03-22 14:24:00,150.7500,150.8400,150.7480,150.8300,25873
GOOGL,2024-03-22 14:25:00,150.8250,150.9000,150.8250,150.8800,25000
GOOGL,2024-03-22 14:26:00,150.8800,150.9200,150.8800,150.9200,12220
GOOGL,2024-03-22 14:27:00,150.9140,150.9950,150.9140,150.9850,39830
GOOGL,2024-03-22 14:28:00,150.9900,151.0300,150.9800,151.0200,68403
GOOGL,2024-03-22 14:29:00,151.0200,151.0200,150.9650,150.9700,23115
GOOGL,2024-03-22 14:30:00,150.9700,150.9800,150.9400,150.9400,17099
GOOGL,2024-03-22 14:31:00,150.9500,150.9500,150.8650,150.8650,18817
GOOGL,2024-03-22 14:32:00,150.8650,150.8750,150.8200,150.8500,22935
GOOGL,2024-03-22 14:33:00,150.8400,150.8450,150.7400,150.7500,28895
GOOGL,2024-03-22 14:34:00,150.7500,150.8100,150.7450,150.8050,23749
GOOGL,2024-03-22 14:35:00,150.8000,150.8500,150.7730,150.7900,31307
GOOGL,2024-03-22 14:36:00,150.7880,150.8100,150.7530,150.8000,32053
GOOGL,2024-03-22 14:37:00,150.8000,150.8400,150.7900,150.8200,17736
GOOGL,2024-03-22 14:38:00,150.8250,150.8600,150.8150,150.8400,20116
GOOGL,2024-03-22 14:39:00,150.8450,150.8500,150.8150,150.8150,29369
GOOGL,2024-03-22 14:40:00,150.8200,150.8200,150.7800,150.8000,23124
GOOGL,2024-03-22 14:41:00,150.7900,150.8150,150.7500,150.8000,26968
GOOGL,2024-03-22 14:42:00,150.7950,150.8100,150.7850,150.8100,20082
GOOGL,2024-03-22 14:43:00,150.8100,150.8200,150.7800,150.7950,31469
GOOGL,2024-03-22 14:44:00,150.7850,150.7950,150.7650,150.7900,25399
GOOGL,2024-03-22 14:45:00,150.7900,150.8100,150.7550,150.7690,26770
GOOGL,2024-03-22 14:46:00,150.7700,150.7900,150.7400,150.7450,15168
GOOGL,2024-03-22 14:47:00,150.7400,150.7400,150.6600,150.6700,31539
GOOGL,2024-03-22 14:48:00,150.6600,150.6700,150.6320,150.6400,30786
GOOGL,2024-03-22 14:49:00,150.6400,150.7400,150.6400,150.6900,22575
GOOGL,2024-03-22 14:50:00,150.6900,150.7250,150.6850,150.6950,21690
GOOGL,2024-03-22 14:51:00,150.7000,150.7500,150.7000,150.7340,22882
GOOGL,2024-03-22 14:52:00,150.7400,150.7400,150.7000,150.7050,22358
GOOGL,2024-03-22 14:53:00,150.7050,150.7700,150.6800,150.7300,29946
GOOGL,2024-03-22 14:54:00,150.7450,150.7450,150.6600,150.6610,38761
GOOGL,2024-03-22 14:55:00,150.6700,150.7200,150.6700,150.6800,32255
GOOGL,2024-03-22 14:56:00,150.6800,150.7200,150.6620,150.7000,21612
GOOGL,2024-03-22 14:57:00,150.7000,150.7000,150.6100,150.6100,17502
GOOGL,2024-03-22 14:58:00,150.6100,150.6150,150.5700,150.5800,27668
GOOGL,2024-03-22 14:59:00,150.5800,150.6200,150.5450,150.5950,49656
GOOGL,2024-03-22 15:00:00,150.6000,150.6200,150.5650,150.5780,27161
GOOGL,2024-03-22 15:01:00,150.5700,150.6100,150.5600,150.6000,25981
GOOGL,2024-03-22 15:02:00,150.6050,150.6500,150.5600,150.5900,36148
GOOGL,2024-03-22 15:03:00,150.5900,150.6100,150.5500,150.5680,29799
GOOGL,2024-03-22 15:04:00,150.5630,150.5900,150.5400,150.5400,51431
GOOGL,2024-03-22 15:05:00,150.5500,150.6000,150.5400,150.5800,26850
GOOGL,2024-03-22 15:06:00,150.5800,150.6000,150.4800,150.5100,45807
GOOGL,2024-03-22 15:07:00,150.5200,150.5600,150.4900,150.5200,30949
GOOGL,2024-03-22 15:08:00,150.5200,150.5600,150.5100,150.5500,26064
GOOGL,2024-03-22 15:09:00,150.5450,150.6700,150.5350,150.6600,54871
GOOGL,2024-03-22 15:10:00,150.6700,150.6850,150.5900,150.5950,39655
GOOGL,2024-03-22 15:11:00,150.5850,150.5850,150.5100,150.5200,33309
GOOGL,2024-03-22 15:12:00,150.5100,150.5300,150.4100,150.4700,74730
GOOGL,2024-03-22 15:13:00,150.4650,150.5700,150.4600,150.5600,36381
GOOGL,2024-03-22 15:14:00,150.5500,150.6250,150.5500,150.6100,41419
GOOGL,2024-03-22 15:15:00,150.6150,150.6600,150.6140,150.6350,33123
GOOGL,2024-03-22 15:16:00,150.6350,150.6350,150.5370,150.5600,35165
GOOGL,2024-03-22 15:17:00,150.5500,150.6300,150.5200,150.6300,34723
GOOGL,2024-03-22 15:18:00,150.6200,150.7600,150.6110,150.7500,100980
GOOGL,2024-03-22 15:19:00,150.7500,150.7800,150.7150,150.7150,111529
GOOGL,2024-03-22 15:20:00,150.7200,150.7600,150.6600,150.6900,51739
GOOGL,2024-03-22 15:21:00,150.6800,150.7550,150.6400,150.6550,99257
